Australia - Perth (auper01)	Okay	187.358	187.601	187.996	64.233.188.121
Australia - Brisbane (aubne02)	Okay	305.699	305.997	306.235	2404:6800:4008:c05::79
Argentina - Buenos Aires (arbue01)	Okay	28.395	30.894	32.432	64.233.186.121
United States - Atlanta (usatl02)	Okay	1.053	1.145	1.214	74.125.21.121
Australia - Sydney (ausyd03)	Okay	138.595	138.653	138.725	74.125.204.121
Brazil - Sao Paulo (brsao04)	Not available				
Brazil - Porto Alegre (brpoa01)	Okay	63.534	63.731	64.058	64.233.190.121
Canada - Vancouver (cavan03)	Okay	11.785	11.884	11.938	173.194.202.121
Belgium - Antwerp (beanr02)	Okay	7.364	7.536	7.718	74.125.136.121
Bulgaria - Sofia (bgsof02)	Okay	37.892	37.934	37.977	74.125.136.121
India - Bangalore (inblr01)	Packets lost (30%)	44.528	52.774	100.974	74.125.68.121
United States - Boulder (uswbu01)	Okay	20.979	21.017	21.082	173.194.197.121
Canada - Toronto (cator02)	Okay	24.799	24.937	25.709	209.85.147.121
China - Hangzhou (cnhgh01)	Unknown host: www.gwtproject.org				
United States - Chicago (uschi04)	Okay	10.912	10.927	10.980	209.85.147.121
United States - Santa Clara (usscz03)	Okay	83.958	84.067	84.248	173.194.205.121
Switzerland - Zurich (chzrh01)	Okay	20.897	21.019	21.120	2a00:1450:400c:c0b::79
United States - Charlotte (usclt02)	Okay	7.909	8.219	8.475	74.125.21.121
China - Shanghai (cnsha02)	Unknown host: www.gwtproject.org				
Costa Rica - San Jose (crsjo01)	Okay	85.070	85.282	85.650	74.125.127.121
Canada - Calgary (cacal01)	Okay	21.789	22.694	25.110	173.194.79.121
Czech Republic - Prague (czprg01)	Okay	19.158	19.185	19.195	74.125.136.121
Germany - Munich (demuc02)	Okay	13.781	13.881	14.012	2a00:1450:400c:c07::79
Germany - Cologne (decgn01)	Okay	13.411	14.713	17.806	2a00:1450:4013:c01::79
Germany - Frankfurt (defra03)	Okay	10.215	10.496	10.732	74.125.136.121
Germany - Berlin (deber01)	Okay	17.430	17.509	17.563	64.233.166.121
United Arab Emirates - Dubai (aedxb01)	Okay	131.266	131.320	131.395	74.125.136.121
Ireland - Dublin (iedub02)	Okay	0.749	0.776	0.804	74.125.24.121
